time	V(n009)
7.854894049246085e-002	-1.003793e+001
7.864659674246084e-002	-1.003951e+001
7.874425299246084e-002	-1.003980e+001
7.884190924246083e-002	-1.003982e+001
7.893956549246083e-002	-1.004015e+001
7.903722174246082e-002	-1.004089e+001
7.913487799246081e-002	-1.004180e+001
7.923253424246081e-002	-1.004249e+001
7.933019049246080e-002	-1.004270e+001
7.942784674246080e-002	-1.004251e+001
7.952550299246079e-002	-1.004218e+001
7.962315924246079e-002	-1.004182e+001
7.972081549246078e-002	-1.004146e+001
7.981847174246078e-002	-1.004111e+001
7.991612799246077e-002	-1.004075e+001
8.020909674246075e-002	-1.003969e+001
8.050206549246074e-002	-1.003864e+001
8.079503424246072e-002	-1.003760e+001
8.108800299246070e-002	-1.003656e+001
8.128331549246069e-002	-1.003588e+001
8.147862799246068e-002	-1.003519e+001
8.157628424246068e-002	-1.003485e+001
8.167394049246067e-002	-1.003451e+001
8.177159674246066e-002	-1.003417e+001
8.186925299246066e-002	-1.003383e+001
8.196690924246065e-002	-1.003350e+001
8.206456549246065e-002	-1.003316e+001
8.216222174246064e-002	-1.003282e+001
8.225987799246064e-002	-1.003249e+001
8.235753424246063e-002	-1.003215e+001
8.245519049246063e-002	-1.003182e+001
8.255284674246062e-002	-1.003149e+001
8.265050299246061e-002	-1.003115e+001
8.274815924246061e-002	-1.003082e+001
8.284581549246060e-002	-1.003049e+001
8.294347174246060e-002	-1.003016e+001
8.304112799246059e-002	-1.002983e+001
8.313878424246059e-002	-1.002950e+001
8.323644049246058e-002	-1.002917e+001
8.333409674246058e-002	-1.002885e+001
8.343175299246057e-002	-1.002852e+001
8.352940924246056e-002	-1.002819e+001
8.362706549246056e-002	-1.002787e+001
8.372472174246055e-002	-1.002755e+001
8.382237799246055e-002	-1.002722e+001
8.392003424246054e-002	-1.002690e+001
8.401769049246054e-002	-1.002658e+001
8.411534674246053e-002	-1.002626e+001
8.421300299246053e-002	-1.002594e+001
8.431065924246052e-002	-1.002562e+001
8.440831549246051e-002	-1.002530e+001
8.450597174246051e-002	-1.002498e+001
8.460362799246050e-002	-1.002466e+001
8.470128424246050e-002	-1.002434e+001
8.479894049246049e-002	-1.002403e+001
8.489659674246049e-002	-1.002371e+001
8.499425299246048e-002	-1.002340e+001
8.509190924246048e-002	-1.002308e+001
8.528722174246047e-002	-1.002246e+001
8.548253424246045e-002	-1.002183e+001
8.567784674246044e-002	-1.002121e+001
8.597081549246043e-002	-1.002028e+001
8.606847174246042e-002	-1.001998e+001
8.616612799246042e-002	-1.001967e+001
8.626378424246041e-002	-1.001940e+001
8.636144049246040e-002	-1.001945e+001
8.645909674246040e-002	-1.002055e+001
8.655675299246039e-002	-1.002341e+001
8.665440924246039e-002	-1.002789e+001
8.675206549246038e-002	-1.003287e+001
8.684972174246038e-002	-1.003689e+001
8.694737799246037e-002	-1.003911e+001
8.704503424246037e-002	-1.003972e+001
8.714269049246036e-002	-1.003966e+001
8.724034674246035e-002	-1.003978e+001
8.733800299246035e-002	-1.004040e+001
8.743565924246034e-002	-1.004139e+001
8.753331549246034e-002	-1.004232e+001
8.763097174246033e-002	-1.004277e+001
8.772862799246033e-002	-1.004272e+001
8.782628424246032e-002	-1.004242e+001
8.792394049246032e-002	-1.004206e+001
8.802159674246031e-002	-1.004170e+001
8.811925299246030e-002	-1.004135e+001
8.821690924246030e-002	-1.004099e+001
8.850987799246028e-002	-1.003993e+001
8.880284674246027e-002	-1.003888e+001
8.909581549246025e-002	-1.003783e+001
8.938878424246023e-002	-1.003679e+001
8.968175299246022e-002	-1.003576e+001
8.997472174246020e-002	-1.003474e+001
9.026769049246018e-002	-1.003372e+001
9.056065924246017e-002	-1.003271e+001
9.085362799246015e-002	-1.003171e+001
9.114659674246013e-002	-1.003071e+001
9.143956549246012e-002	-1.002972e+001
9.163487799246010e-002	-1.002907e+001
9.192784674246009e-002	-1.002809e+001
9.222081549246007e-002	-1.002712e+001
9.251378424246005e-002	-1.002615e+001
9.280675299246004e-002	-1.002519e+001
9.309972174246002e-002	-1.002424e+001
9.339269049246000e-002	-1.002329e+001
9.368565924245999e-002	-1.002235e+001
9.397862799245997e-002	-1.002142e+001
