# time	V(n009)
8.275330228720776e-002	-9.927181e+000
8.285095853720775e-002	-9.926614e+000
8.294861478720775e-002	-9.926044e+000
8.304627103720774e-002	-9.925474e+000
8.314392728720774e-002	-9.924900e+000
8.324158353720773e-002	-9.924324e+000
8.333923978720773e-002	-9.923746e+000
8.343689603720772e-002	-9.923166e+000
8.353455228720771e-002	-9.922583e+000
8.363220853720771e-002	-9.921997e+000
8.372986478720770e-002	-9.921410e+000
8.382752103720770e-002	-9.920818e+000
8.392517728720769e-002	-9.920224e+000
8.402283353720769e-002	-9.919627e+000
8.412048978720768e-002	-9.919027e+000
8.421814603720768e-002	-9.918425e+000
8.431580228720767e-002	-9.917819e+000
8.441345853720766e-002	-9.917210e+000
8.451111478720766e-002	-9.916597e+000
8.460877103720765e-002	-9.915981e+000
8.470642728720765e-002	-9.915361e+000
8.480408353720764e-002	-9.914738e+000
8.490173978720764e-002	-9.914110e+000
8.499939603720763e-002	-9.913479e+000
8.509705228720763e-002	-9.912844e+000
8.529236478720761e-002	-9.911560e+000
8.548767728720760e-002	-9.910258e+000
8.568298978720759e-002	-9.908937e+000
8.597595853720758e-002	-9.906918e+000
8.607361478720757e-002	-9.906233e+000
8.617127103720756e-002	-9.905542e+000
8.626892728720756e-002	-9.904953e+000
8.636658353720755e-002	-9.905201e+000
8.646423978720755e-002	-9.907895e+000
8.656189603720754e-002	-9.914089e+000
8.665955228720754e-002	-9.922715e+000
8.675720853720753e-002	-9.931254e+000
8.685486478720753e-002	-9.937500e+000
8.695252103720752e-002	-9.940636e+000
8.705017728720751e-002	-9.941408e+000
8.714783353720751e-002	-9.941336e+000
8.724548978720750e-002	-9.941593e+000
8.734314603720750e-002	-9.942575e+000
8.744080228720749e-002	-9.944034e+000
8.753845853720749e-002	-9.945335e+000
8.763611478720748e-002	-9.945936e+000
8.773377103720748e-002	-9.945822e+000
8.783142728720747e-002	-9.945364e+000
8.792908353720746e-002	-9.944841e+000
8.802673978720746e-002	-9.944318e+000
8.812439603720745e-002	-9.943792e+000
8.822205228720745e-002	-9.943267e+000
8.851502103720743e-002	-9.941686e+000
8.880798978720741e-002	-9.940096e+000
8.910095853720740e-002	-9.938498e+000
8.939392728720738e-002	-9.936890e+000
8.968689603720736e-002	-9.935270e+000
8.997986478720735e-002	-9.933640e+000
9.027283353720733e-002	-9.931995e+000
9.056580228720731e-002	-9.930337e+000
9.085877103720730e-002	-9.928663e+000
9.115173978720728e-002	-9.926971e+000
9.144470853720726e-002	-9.925262e+000
9.164002103720725e-002	-9.924111e+000
9.193298978720724e-002	-9.922367e+000
9.222595853720722e-002	-9.920599e+000
9.251892728720720e-002	-9.918805e+000
9.281189603720719e-002	-9.916984e+000
9.310486478720717e-002	-9.915131e+000
9.339783353720715e-002	-9.913244e+000
9.359314603720714e-002	-9.911966e+000
9.388611478720713e-002	-9.910016e+000
9.417908353720711e-002	-9.908022e+000
9.437439603720710e-002	-9.906666e+000
9.447205228720709e-002	-9.905979e+000
9.456970853720709e-002	-9.905327e+000
9.466736478720708e-002	-9.905172e+000
9.476502103720708e-002	-9.906878e+000
9.486267728720707e-002	-9.911859e+000
9.496033353720706e-002	-9.919819e+000
9.505798978720706e-002	-9.928597e+000
9.515564603720705e-002	-9.935754e+000
9.525330228720705e-002	-9.939929e+000
9.535095853720704e-002	-9.941328e+000
9.544861478720704e-002	-9.941355e+000
