# time	V(rect_+)	V(rect_-)
6.663555471531134e-002	1.714371e-001	-1.714371e-001
6.664661049247780e-002	1.031444e-001	-1.031444e-001
6.666872204681074e-002	1.759826e-002	-1.759826e-002
6.667424993539398e-002	2.377527e-002	-2.377527e-002
6.668530571256044e-002	8.815361e-002	-8.815361e-002
6.670741726689337e-002	2.485689e-001	-2.485689e-001
6.675164037555924e-002	5.995607e-001	-5.995607e-001
6.684008659289098e-002	1.325379e+000	-1.325379e+000
6.693774284289097e-002	2.136223e+000	-2.136223e+000
6.703539909289097e-002	2.948952e+000	-2.948952e+000
6.713305534289096e-002	3.759547e+000	-3.759547e+000
6.723071159289096e-002	4.566169e+000	-4.566169e+000
6.732836784289095e-002	5.367220e+000	-5.367220e+000
6.742602409289095e-002	6.161362e+000	-6.161362e+000
6.752368034289094e-002	6.947370e+000	-6.947370e+000
6.762133659289094e-002	7.724076e+000	-7.724076e+000
6.771899284289093e-002	8.490351e+000	-8.490351e+000
6.781664909289092e-002	9.245101e+000	-9.245101e+000
6.791430534289092e-002	9.987263e+000	-9.987263e+000
6.801196159289091e-002	1.071580e+001	-1.071580e+001
6.810961784289091e-002	1.142969e+001	-1.142969e+001
6.820727409289090e-002	1.212796e+001	-1.212796e+001
6.830493034289090e-002	1.280963e+001	-1.280963e+001
6.840258659289089e-002	1.347377e+001	-1.347377e+001
6.859789909289088e-002	1.474583e+001	-1.474583e+001
6.879321159289087e-002	1.593718e+001	-1.593718e+001
6.898852409289086e-002	1.704130e+001	-1.704130e+001
6.928149284289084e-002	1.852087e+001	-1.852087e+001
6.957446159289082e-002	1.977259e+001	-1.977259e+001
6.986743034289081e-002	2.078113e+001	-2.078113e+001
7.016039909289079e-002	2.153413e+001	-2.153413e+001
7.045336784289077e-002	2.202240e+001	-2.202240e+001
7.074633659289076e-002	2.223995e+001	-2.223995e+001
7.103930534289074e-002	2.218412e+001	-2.218412e+001
7.133227409289072e-002	2.185561e+001	-2.185561e+001
7.162524284289071e-002	2.125841e+001	-2.125841e+001
7.191821159289069e-002	2.039985e+001	-2.039985e+001
7.221118034289067e-002	1.929043e+001	-1.929043e+001
7.250414909289066e-002	1.794373e+001	-1.794373e+001
7.279711784289064e-002	1.637624e+001	-1.637624e+001
7.309008659289062e-002	1.460721e+001	-1.460721e+001
7.338305534289061e-002	1.265838e+001	-1.265838e+001
7.367602409289059e-002	1.055379e+001	-1.055379e+001
7.396899284289057e-002	8.319616e+000	-8.319616e+000
7.426196159289056e-002	5.984089e+000	-5.984089e+000
7.455493034289054e-002	3.578288e+000	-3.578288e+000
7.484789909289052e-002	1.146254e+000	-1.146254e+000
7.494555534289052e-002	3.480885e-001	-3.480885e-001
7.495776237414052e-002	2.530995e-001	-2.530995e-001
7.498217643664053e-002	7.652237e-002	-7.652237e-002
7.498827995226552e-002	4.293513e-002	-4.293513e-002
7.500048698351552e-002	6.343604e-003	-6.343604e-003
7.500353874132802e-002	8.490047e-003	-8.490047e-003
7.500964225695302e-002	3.589883e-002	-3.589883e-002
7.502184928820302e-002	1.130673e-001	-1.130673e-001
7.504626335070302e-002	2.952136e-001	-2.952136e-001
7.509509147570302e-002	6.863618e-001	-6.863618e-001
7.529040397570301e-002	2.300733e+000	-2.300733e+000
7.558337272570299e-002	4.729949e+000	-4.729949e+000
7.587634147570298e-002	7.106606e+000	-7.106606e+000
7.616931022570296e-002	9.397762e+000	-9.397762e+000
7.646227897570294e-002	1.157391e+001	-1.157391e+001
7.675524772570293e-002	1.360780e+001	-1.360780e+001
7.704821647570291e-002	1.547427e+001	-1.547427e+001
7.734118522570289e-002	1.715033e+001	-1.715033e+001
7.763415397570288e-002	1.861540e+001	-1.861540e+001
7.792712272570286e-002	1.985152e+001	-1.985152e+001
7.822009147570284e-002	2.084355e+001	-2.084355e+001
7.851306022570283e-002	2.157933e+001	-2.157933e+001
7.880602897570281e-002	2.204989e+001	-2.204989e+001
7.909899772570279e-002	2.224945e+001	-2.224945e+001
7.939196647570278e-002	2.217558e+001	-2.217558e+001
7.968493522570276e-002	2.182917e+001	-2.182917e+001
7.997790397570274e-002	2.121448e+001	-2.121448e+001
8.027087272570273e-002	2.033901e+001	-2.033901e+001
8.056384147570271e-002	1.921348e+001	-1.921348e+001
8.085681022570269e-002	1.785167e+001	-1.785167e+001
8.105212272570268e-002	1.682066e+001	-1.682066e+001
8.124743522570267e-002	1.569761e+001	-1.569761e+001
8.144274772570266e-002	1.448867e+001	-1.448867e+001
8.163806022570265e-002	1.320045e+001	-1.320045e+001
8.173571647570264e-002	1.252880e+001	-1.252880e+001
8.183337272570264e-002	1.184001e+001	-1.184001e+001
8.193102897570263e-002	1.113503e+001	-1.113503e+001
8.202868522570263e-002	1.041484e+001	-1.041484e+001
8.212634147570262e-002	9.680426e+000	-9.680426e+000
8.222399772570262e-002	8.932823e+000	-8.932823e+000
8.232165397570261e-002	8.173077e+000	-8.173077e+000
8.241931022570261e-002	7.402265e+000	-7.402265e+000
8.251696647570260e-002	6.621493e+000	-6.621493e+000
8.261462272570259e-002	5.831907e+000	-5.831907e+000
8.271227897570259e-002	5.034704e+000	-5.034704e+000
8.280993522570258e-002	4.231158e+000	-4.231158e+000
8.290759147570258e-002	3.422680e+000	-3.422680e+000
8.300524772570257e-002	2.610970e+000	-2.610970e+000
8.310290397570257e-002	1.798501e+000	-1.798501e+000
8.320056022570256e-002	9.931966e-001	-9.931966e-001
8.329821647570256e-002	2.028081e-001	-2.028081e-001
8.330515429418259e-002	1.507066e-001	-1.507066e-001
8.331902993114265e-002	8.549375e-002	-8.549375e-002
8.334678120506278e-002	6.782129e-002	-6.782129e-002
8.335361718641399e-002	9.534726e-002	-9.534726e-002
8.336728914911641e-002	1.946567e-001	-1.946567e-001
