time	V(rect_+)	V(rect_-)
4.599551541816972e-002	2.178771e+001	-2.178131e+001
4.609317166816972e-002	2.177931e+001	-2.177307e+001
4.619082791816973e-002	2.175346e+001	-2.174435e+001
4.628848416816973e-002	2.172459e+001	-2.171146e+001
4.638614041816973e-002	2.169577e+001	-2.167864e+001
4.648379666816973e-002	2.166702e+001	-2.164592e+001
4.677676541816973e-002	2.158119e+001	-2.154827e+001
4.706973416816974e-002	2.149597e+001	-2.145144e+001
4.736270291816974e-002	2.141136e+001	-2.135539e+001
4.765567166816975e-002	2.132736e+001	-2.126013e+001
4.785098416816975e-002	2.127169e+001	-2.119706e+001
4.804629666816975e-002	2.121628e+001	-2.113433e+001
4.824160916816975e-002	2.116114e+001	-2.107195e+001
4.833926541816976e-002	2.113367e+001	-2.104088e+001
4.843692166816976e-002	2.110626e+001	-2.100990e+001
4.853457791816976e-002	2.107892e+001	-2.097901e+001
4.863223416816976e-002	2.105164e+001	-2.094820e+001
4.872989041816976e-002	2.102443e+001	-2.091747e+001
4.882754666816976e-002	2.099728e+001	-2.088683e+001
4.892520291816976e-002	2.097020e+001	-2.085627e+001
4.902285916816977e-002	2.094318e+001	-2.082580e+001
4.912051541816977e-002	2.091622e+001	-2.079541e+001
4.921817166816977e-002	2.088933e+001	-2.076510e+001
4.931582791816977e-002	2.086250e+001	-2.073488e+001
4.941348416816977e-002	2.083574e+001	-2.070473e+001
4.951114041816977e-002	2.080904e+001	-2.067467e+001
4.960879666816977e-002	2.078240e+001	-2.064470e+001
4.970645291816978e-002	2.075583e+001	-2.061480e+001
4.980410916816978e-002	2.072931e+001	-2.058499e+001
4.990176541816978e-002	2.070287e+001	-2.055526e+001
4.999942166816978e-002	2.067648e+001	-2.052560e+001
5.009707791816978e-002	2.065015e+001	-2.049603e+001
5.019473416816978e-002	2.062389e+001	-2.046654e+001
5.029239041816978e-002	2.059769e+001	-2.043713e+001
5.039004666816978e-002	2.057155e+001	-2.040780e+001
5.048770291816979e-002	2.054548e+001	-2.037856e+001
5.058535916816979e-002	2.051946e+001	-2.034939e+001
5.068301541816979e-002	2.049351e+001	-2.032030e+001
5.078067166816979e-002	2.046761e+001	-2.029129e+001
5.087832791816979e-002	2.044178e+001	-2.026235e+001
5.097598416816979e-002	2.041600e+001	-2.023350e+001
5.107364041816979e-002	2.039029e+001	-2.020473e+001
5.117129666816980e-002	2.036464e+001	-2.017603e+001
5.126895291816980e-002	2.033905e+001	-2.014741e+001
5.136660916816980e-002	2.031351e+001	-2.011887e+001
5.146426541816980e-002	2.028804e+001	-2.009041e+001
5.156192166816980e-002	2.026262e+001	-2.006203e+001
5.165957791816980e-002	2.023727e+001	-2.003372e+001
